fecha,hora,operador,tipo_de_avion,ruta,pasajeros_a_bordo,personal_a_bordo,total_a_bordo,pasajeros_fallecidos,personal_fallecido,ground,total_fallecidos,año,dia,mes
1948-7-16,18:00:00,Cathay Pacific Airways,Consolidated OA-10 Catalina,Pacific Ocean between Hong Kong and Macao,23.0,3.0,26.0,22.0,3.0,0.0,25.0,1948,16,7
1948-7-24,17:30:00,Rimouski Airlines,Douglas DC-3,"Cap-des-Rosiers, Quebec, Canada",27.0,2.0,29.0,27.0,2.0,0.0,29.0,1948,24,7
1948-7-29,09:15:00,ALFA,Short Sandringham 2 (flying boat),"Buenos Aires, Argentina",18.0,6.0,24.0,16.0,2.0,0.0,18.0,1948,29,7
1948-7-29,,Civil Air Transport,Curtiss C-46D-20-CU,"Tsingtao, China",16.0,3.0,19.0,16.0,3.0,0.0,19.0,1948,29,7
1948-8-01,09:40:00,Onzeair,Avro 691 Lancastrian (flying boat),"Karachi, Pakistan",0.0,4.0,4.0,0.0,4.0,0.0,4.0,1948,1,8
1948-8-01,23:55:00,Air France,Latecoere 631 (flying boat),"1,200 miles off Dakar, Atlantic Ocean",40.0,12.0,52.0,40.0,12.0,0.0,52.0,1948,1,8
1948-8-09,08:45:00,New Zealand National Airways,Douglas C-47B,"Port Underwood, New Zealand",0.0,2.0,2.0,0.0,2.0,0.0,2.0,1948,9,8
1948-8-20,,Avensa,Douglas C-47A,"La Guaira, Venezuela",0.0,3.0,3.0,0.0,3.0,0.0,3.0,1948,20,8
1948-8-29,17:05:00,Northwest Orient Airlines,Martin 202,"Near Winona, Minnesota",33.0,4.0,37.0,33.0,4.0,0.0,37.0,1948,29,8
1948-8-31,,Sabena,Douglas DC-3 (Douglas C-47A-10-DK),"Near Elizabethville, Belgium Congo",10.0,3.0,13.0,10.0,3.0,0.0,13.0,1948,31,8
1948-9-02,20:15:00,Australian National Airways,Douglas DC-3,"Near Quirindi, Australia",10.0,3.0,13.0,10.0,3.0,0.0,13.0,1948,2,9
1948-9-30,12:50:00,Aeroflot,Lisunov LI-2,"Balkhash, Kazakhstan",11.0,4.0,15.0,11.0,4.0,0.0,15.0,1948,30,9
1948-10-02,10:30:00,Norwegian Airlines,Short Sandringham 6 (flying boat),"Near Trondheim, Norway",38.0,7.0,45.0,16.0,3.0,0.0,19.0,1948,2,10
1948-10-12,13:00:00,Aeroflot,Ilyushin Il12,"Near Yevlakh, Azerbaijan, USSR",4.0,6.0,10.0,4.0,6.0,0.0,10.0,1948,12,10
1948-10-21,00:35:00,KLM Royal Dutch Airlines,Lockheed 049-46-25 Constellation,"Prestwick Airport, Scotland",30.0,10.0,40.0,30.0,10.0,0.0,40.0,1948,21,10
1948-10-23,14:15:00,New Zealand National Airways,Lockheed 10A Electra,"Mt. Ruapehu, New Zealand",10.0,3.0,13.0,10.0,3.0,0.0,13.0,1948,23,10
1948-10-25,14:00:00,Aerflot,Lisunov Li-2,"Georgian SSR, USSR",14.0,4.0,18.0,14.0,4.0,0.0,18.0,1948,25,10
1948-10-27,16:50:00,Northwest Orient Airlines,Douglas C-54A,"Near Edmonton, Alberta, Canada",0.0,5.0,5.0,0.0,2.0,0.0,2.0,1948,27,10
1948-11-03,10:50:00,Military - U.S. Air Force,Boeing B-29A Superfortress,"Near Glossop, England",0.0,13.0,13.0,0.0,13.0,0.0,13.0,1948,3,11
1948-11-04,04:45:00,Pacific Alaska Air Freight,Douglas DC-3,"Cape Spencer, Alaska",15.0,2.0,17.0,15.0,2.0,0.0,17.0,1948,4,11
1948-11-08,07:40:00,Australian National Airways,Douglas DC-3,"Mt. Macedon, Australia",19.0,4.0,23.0,0.0,3.0,0.0,3.0,1948,8,11
1948-11-11,18:15:00,Mannin Airways,de Havilland DH-89A Dragon Rapide,"Liverpool, England",6.0,2.0,8.0,5.0,2.0,0.0,7.0,1948,11,11
1948-11-22,,Aeroflot,Lisunov Li-2,"Near Ryzhovo, Russia",21.0,5.0,26.0,18.0,5.0,,23.0,1948,22,11
1948-11-26,11:15:00,Pakistan Airways,Douglas DC-3,"Vehari, Pakistan",16.0,5.0,21.0,16.0,5.0,0.0,21.0,1948,26,11
1948-12-05,,Central Air Transport,Curtiss C-46,"Kiangwan, China",37.0,3.0,40.0,7.0,2.0,0.0,9.0,1948,5,12
1948-12-06,10:30:00,"Avio Linee ItalianeAvio Linee Italiane",Douglas C-47,"Milan, Italy",6.0,1.0,7.0,6.0,1.0,0.0,7.0,1948,6,12
1948-12-12,,China National Aviation Corporation,Douglas DC-3,"Taipei, Taiwan",8.0,2.0,10.0,0.0,2.0,0.0,2.0,1948,12,12
1948-12-15,06:00:00,LANSA,Douglas C-47,"Near Bogata, Colombia",27.0,3.0,30.0,27.0,3.0,0.0,30.0,1948,15,12
1948-12-21,16:37:00,Ceskoslovenske Aerolinie,Douglas DC-3,"Near Pilos, Greece",19.0,5.0,24.0,19.0,5.0,0.0,24.0,1948,21,12
1948-12-21,14:00:00,China National Aviation Corporation,Douglas C-54B-5-DO,"Basalt Island, Hong Kong",29.0,4.0,33.0,29.0,4.0,0.0,33.0,1948,21,12
1948-12-23,09:30:00,Iberia Airlines,Douglas DC-3 (C-47-DL),"Near Madrid, Spain",24.0,3.0,27.0,24.0,3.0,0.0,27.0,1948,23,12
1948-12-28,04:13:00,Airborne Transport,Douglas DC-3DST,"Off San Juan, Puerto Rico",29.0,3.0,32.0,29.0,3.0,0.0,32.0,1948,28,12
1948-12-31,17:52:00,Pan African Air Charter,Douglas DC-3,"Mt. Argentari, Italy",8.0,5.0,13.0,8.0,5.0,0.0,13.0,1948,31,12
1949-1-02,22:05:00,Seattle Air Charter,Douglas DC-3 (C-47A-DL),"Seattle, Washington",27.0,3.0,30.0,11.0,3.0,0.0,14.0,1949,2,1
1949-1-05,,British South American Airways,Avro 685 York 1,"Caravelas Bay, Brazil",11.0,6.0,17.0,3.0,0.0,0.0,3.0,1949,5,1
1949-1-06,07:20:00,Coastal Cargo,Douglas C-47A,"Brandywine, Maryland",0.0,2.0,2.0,0.0,2.0,0.0,2.0,1949,6,1
1949-1-11,,Viacao Aerea Gaucha S.A.,Lockheed 18 Lodestar,"Near Pelotas, Brazil",8.0,4.0,12.0,8.0,4.0,0.0,12.0,1949,11,1
1949-1-15,,Pan African Air Charter,Douglas C-54 Skymaster,"Ras-el-Tin, Egypt",,,30.0,,,0.0,30.0,1949,15,1
1949-1-16,,Dalmia Jain Airways,Douglas DC-3,"Near Srinagar, India",4.0,9.0,13.0,4.0,9.0,0.0,13.0,1949,16,1
1949-1-17,13:40:00,British South American Airways,Avro 688 Tudor 4B,"Atlantic Ocean, off Bermuda",13.0,7.0,20.0,13.0,7.0,0.0,20.0,1949,17,1
1949-1-17,09:50:00,Military - U.S. Air Force,Boeing B-29A Superfortress,"Near Succoth Glen, Lochgoilhead, Scotland",16.0,4.0,20.0,16.0,4.0,0.0,20.0,1949,17,1
1949-1-20,20:05:00,Alaska Airlines,Douglas DC-3C,"Homer, Alaska",3.0,3.0,6.0,3.0,2.0,0.0,5.0,1949,20,1
1949-1-30,16:22:00,Pan American World Airways,Lockheed L-749 / Cessna 140,"Port Washington, New York",23.0,12.0,35.0,1.0,1.0,0.0,2.0,1949,30,1
1949-2-02,16:00:00,Saint Lawrence Airways,Avro Anson,"Trinity Bay, Newfoundland",,,10.0,,,0.0,6.0,1949,2,2
1949-2-04,,Skyways of London,Douglas C-54A-1-DO Skymaster,"Castel Benito, Libya",44.0,9.0,53.0,0.0,1.0,0.0,1.0,1949,4,2
1949-2-05,,AVIANCA,Consolidated PBY-5A Catalina,"Buenaventura Bay, Colombia",10.0,4.0,14.0,1.0,2.0,0.0,3.0,1949,5,2
1949-2-08,19:56:00,Scandinavian Airlines (SAS),Vickers 628 Viking 1B,"Off Copenhagen, Denmark",23.0,4.0,27.0,23.0,4.0,0.0,27.0,1949,8,2
1949-2-10,,Faucett,Douglas DC-3,"Near Huanuco, Peru",13.0,3.0,16.0,13.0,3.0,0.0,16.0,1949,10,2
1949-2-19,09:45:00,British European Airways / Military - British,Douglas DC-3 / Avro Anson,"Near Coventry, Warks, England",6.0,8.0,14.0,6.0,8.0,0.0,14.0,1949,19,2
1949-2-24,08:00:00,TAM (Peru),Douglas C-47,"Near Cuzco, Peru",22.0,4.0,26.0,20.0,2.0,0.0,22.0,1949,24,2
1949-2-24,11:00:00,Cathay Pacific Airways,Douglas DC-3,"Braemar Resevoir, Hong Kong",19.0,4.0,23.0,19.0,4.0,0.0,23.0,1949,24,2
1949-3-10,09:50:00,Queensland Airlines,Lockheed 18 Lodestar,"Coolangatta, Australia",19.0,3.0,22.0,19.0,3.0,0.0,22.0,1949,10,3
